time,x,y,z
1572437364335,-11.130722,-3.7045288,-0.45094300000000004
1572437364335,-10.041367,-2.701355,-2.0885773000000003
1572437364335,-7.898559599999999,-3.5465088,2.1874695
1572437364335,-0.44061279999999997,-4.128296,-9.893677
1572437364336,-2.5810242000000003,-12.292525999999999,-12.632645
1572437364336,-3.1340942000000003,-9.886353,-5.0430145
1572437364336,-0.852417,-6.697280999999999,0.14761353
1572437364432,-2.7821502999999996,-5.291885400000001,-5.069351
1572437364432,-3.4381561,-2.866562,-11.196121
1572437364432,-2.8204498,-3.283142,-12.323791499999999
1572437364433,-2.3128815,-5.8066406,-6.728546000000001
1572437364433,-3.8331910000000002,-4.4874268,-5.011902
1572437364617,-4.0247345,-4.748398,-3.8100127999999995
1572437364617,-2.351181,-7.700454700000001,-1.6743773999999998
1572437364618,-0.59384155,-6.297455,3.7365112000000003
1572437364618,-7.4915313999999995,-11.047546,-0.34559629999999997
1572437364618,-8.3845825,-17.128815,1.4237213
1572437364618,-3.8308105,-17.085724,-3.9967498999999997
1572437364618,0.004714966,-8.962189,0.47561646
1572437364618,-2.6959534,-3.0892181,-4.992737
1572437364619,-4.683136,-9.014861999999999,-7.0972443
1572437364619,-7.2808532999999995,-12.598984,-7.334274300000001
1572437364815,-6.8953857,-13.532729999999999,-5.294418299999999
1572437364815,-1.1301421999999999,-13.065857000000001,-3.213852
1572437364815,3.1411132999999998,-11.172042999999999,-5.871414
1572437364815,0.6655121,-7.602295,-5.531433
1572437364815,-1.7598113999999998,-6.8265686,-5.306381
1572437364815,1.2736359,-5.452301,-6.5298157
1572437364815,2.760437,-8.152954,1.3495026
1572437364815,-0.931427,-9.833679,3.3534393
1572437364815,-1.7454528999999999,-10.951782000000001,1.6104736000000002
1572437364815,-4.836364700000001,-9.936630000000001,-3.8698578
1572437365015,-6.402176,-9.690033,0.099731445
1572437365015,-0.25625610000000004,-13.829604999999999,-5.916900599999999
1572437365015,0.7876129,-16.582947,-7.9471893
1572437365015,0.7876129,-14.722641000000001,-11.19133
1572437365015,9.995712,-16.5997,-1.415802
1572437365015,8.911133,-23.846954,4.9791107000000006
1572437365015,2.3438416,-37.06534,8.539291
1572437365015,-7.434082000000001,-36.27765,3.1595154
1572437365016,-13.093964,-21.110382,-10.377303999999999
1572437365016,-12.234451,-6.850509599999999,-13.087539999999999
1572437365218,-8.731735,0.67926025,-5.9121094
1572437365218,-9.60083,5.039093,-7.5138397
1572437365218,-9.411682,3.6145476999999997,0.7485504
1572437365218,-3.6057434,2.8819275,6.367751999999999
1572437365218,1.1970215,3.3559723,6.3174589999999995
1572437365218,1.1970215,3.7198943999999994,4.519424400000001
1572437365218,4.357361,2.6281432999999996,1.2226105
1572437365218,2.432434,-0.24969482,-0.022384644
1572437365221,1.5346069,-1.5090485,-0.44854736
1572437365221,1.8602142,-2.263214,-0.6065674
1572437365417,1.4555969,-2.6869965000000002,-0.8771056999999999
1572437365417,1.4603882,-1.7628326,-0.26419067
1572437365417,2.353424,-0.027038574,-0.22828674
1572437365417,2.8562012,0.6026459,-1.3439789
1572437365417,1.1108246000000002,-0.16828918,-4.420532
1572437365417,-3.6249084000000003,-2.8833159999999998,-12.283081
1572437365417,-6.3447113,-6.625458,-4.5809326
1572437365417,-0.57948303,-13.405838000000001,1.2178191999999999
1572437365419,-5.8251800000000005,-23.506973000000002,2.1874695
1572437365419,-18.014053,-33.95288,3.1882477000000002
1572437365617,-29.503829999999997,-33.5291,-13.149795999999998
1572437365617,-7.628006,-14.4401245,1.0933228000000002
1572437365617,-8.386963,-9.328505999999999,3.7365112000000003
1572437365617,-12.550491000000001,-18.407318,-3.2784882000000004
1572437365617,-11.260010000000001,-27.735138,-5.229767
1572437365617,-10.999039,-27.88118,-4.9496459999999995
1572437365617,-7.446045,-22.003418,-0.39108276
1572437365617,-5.9065704000000006,-18.713776,1.825943
1572437365618,-6.584136999999999,-16.760117,-3.0462493999999998
1572437365618,-8.29599,-12.251831,-6.4412384000000005
1572437365817,-5.583359,-6.0747833,-3.0390778
1572437365817,-0.9386139000000001,-1.7436828999999998,-1.9784393
1572437365818,2.2049866000000002,1.1868286,-3.6065062999999995
1572437365818,0.86901855,2.599411,-4.6527709999999995
1572437365818,-2.6073607999999995,2.149292,-6.936828599999999
1572437365818,-4.4461059999999994,1.2490691999999999,-1.9664764
1572437365818,-3.1101532000000005,1.1006316999999999,3.8969269
1572437365818,-0.18922424,1.5172272,5.213744999999999
1572437365819,2.2480773999999997,1.6129913,3.3917542000000003
1572437365819,2.8466187,1.2897797,1.2537231000000002
1572437366018,2.468338,0.6481323,-0.065475464
1572437366018,2.5042572,0.33448792,-0.90823364
1572437366018,2.0637206999999997,-0.29997253,-2.454895
1572437366018,-0.45736694,-1.5449524,-6.68544
1572437366018,-2.1476745999999998,-2.3302612000000003,-4.861068700000001
1572437366018,-2.0040283,-1.7436828999999998,1.4285126
1572437366018,-2.5187836,-0.37898254,5.5010376
1572437366018,-3.1795807000000003,0.5332031,1.4859619
1572437366019,-4.999176,-0.43884277,-7.090057400000001
1572437366019,-5.4756165,-5.677353,-14.346893
1572437366219,-5.662369,-13.310058999999999,-2.6512146
1572437366219,-11.51619,-22.834198,8.512955
1572437366219,-29.506226,-33.835556,6.264801
1572437366219,-28.890915000000003,-28.474945,-6.7740326
1572437366219,-9.804337,-15.318802,3.5593413999999997
1572437366219,-6.450058,-19.262054,-3.7022705
1572437366219,-11.6813965,-26.380020000000002,-5.4452515
1572437366219,-13.070022999999999,-26.432678000000003,-1.4086151000000002
1572437366221,-12.117142,-22.621109,1.6344147
1572437366221,-12.710892,-19.89412,3.0445862
1572437366419,-12.555267,-16.058609,-0.55389404
1572437366419,-10.513016,-9.881561,-5.0334473
1572437366419,-5.928131,-3.8338165,-4.343918
1572437366419,0.12921143,-0.017456055,-3.2713165
1572437366419,0.12921143,1.8021393,-4.4732056
1572437366419,1.0318146000000001,1.8859406000000003,-4.463623
1572437366419,-0.6465149,1.5651093,-3.7980347
1572437366419,-0.6752471999999999,1.239502,-0.94415283
1572437366420,-0.122177124,0.99528503,1.8738251
1572437366420,0.26567078,0.9497985999999999,2.9440307999999997
1572437366619,0.31355286,0.8372803,2.6974335
1572437366619,0.39974976,0.6960144,1.7900238000000002
1572437366619,0.6583251999999999,0.5667267,0.7844696
1572437366619,1.0366058,0.39913940000000003,-0.6281128
1572437366619,1.4101105,0.083099365,-1.8036651999999997
1572437366619,1.7859955,-0.18743896,-2.3351745999999998
1572437366619,1.6160126,-0.45799255,-1.6887511999999998
1572437366619,0.7469177,-0.8171234,-0.35757446
1572437366620,-0.4621582,-1.2696228,0.30801392
1572437366620,-1.738266,-1.7723999,-0.97766113
1572437366819,-2.8731232,-1.9854889,-2.0143584999999997
1572437366819,-3.6823578,-3.1418915000000003,-10.631088
1572437366819,-0.6034241,-8.478561000000001,-12.33815
1572437366819,-1.0056458000000001,-16.769683999999998,6.489853
1572437366819,-14.214462,-49.414627,13.308532999999999
1572437366819,-27.691421999999996,-60.63146999999999,-19.970871
1572437366819,-25.94365,-33.363907,-4.774872
1572437366819,-13.443527,-17.866226,-0.5706482
1572437366820,-5.4253387,-22.139877,3.094864
1572437366820,-3.153244,-25.992157000000002,3.7413025
1572437367019,-6.241760299999999,-24.677734,0.6863098000000001
1572437367019,-7.1635284,-19.436829,-1.7294464
1572437367019,-5.27211,-11.387527,-4.5498199999999995
1572437367019,-0.25146484,-3.6925507000000004,-8.730087
1572437367019,-0.25146484,1.3999176000000002,-16.106628
1572437367019,0.2106018,0.99528503,-15.658904999999999
1572437367019,-3.3376007000000003,0.18844604,4.730118
1572437367019,-2.3823090000000002,2.5970154,10.722794
1572437367020,-1.1756287,2.702362,8.805038
1572437367020,-1.7502441000000002,1.560318,3.161911
1572437367220,-2.2075348,0.9928894,-0.9968261999999999
1572437367220,-1.2163391000000001,1.0886688,-1.257782
1572437367220,0.45002747,1.184433,-0.42460632
1572437367220,2.0349884,1.0000763000000001,-0.060684204000000005
1572437367220,3.081253,0.45898438,-0.42460632
1572437367220,2.6598816000000003,-0.4172821,-0.65205383
1572437367220,2.5856627999999997,-0.8769684000000001,-0.9393616
1572437367220,3.1865997000000004,-1.0278167999999999,-0.8627471999999999
1572437367221,3.1865997000000004,-1.1283722,-0.8196564000000001
1572437367221,1.855423,-0.9368286,-1.5642395
1572437367615,-0.18682861,-0.7357178000000001,-2.6344604
1572437367615,-2.394287,-0.29757690000000003,1.7205963
1572437367615,-4.2641599999999995,-0.24969482,-1.9042206000000002
1572437367615,-4.2641599999999995,-3.3597565,-5.842682
1572437367616,-6.1483917,-12.053116000000001,0.8538971
1572437367616,-26.056182999999997,-52.208664,19.578948999999998
1572437367616,-36.114227,-65.68562,-35.995255
1572437367616,-12.483444,-34.623245000000004,-3.419754
1572437367617,0.23216248,-21.725676999999997,7.6893463
1572437367617,-4.927353,-30.071869,-4.827545
1572437368034,-7.8482666,-30.172424,-2.7948607999999995
1572437368034,-10.726105,-26.770264,0.6791229
1572437368034,-11.7604065,-19.980316000000002,0.37745667
1572437368034,-8.633575,-11.507233,0.5689850000000001
1572437368034,-4.154022,-3.9295807000000003,-0.19476318
1572437368034,-0.8021393,0.8157196,-1.7270508000000002
1572437368034,-1.2306976,2.8388214,-14.267883
1572437368034,-3.4764557000000003,0.9928894,-13.415543
1572437368035,-2.691162,-0.086883545,2.122818
1572437368035,-0.85720825,0.6960144,7.222473
1572437368035,-0.08387756,3.6720123,14.022003
1572437368035,1.6351624,2.4701232999999996,4.4619599999999995
1572437368035,1.6351624,0.9426117,-1.9090118000000003
1572437368035,3.7085419,0.33209229999999995,-2.0191498
1572437368035,3.0525208,0.33688354,-1.4660796999999999
1572437368035,2.554535,0.39913940000000003,-1.4349518
1572437368035,2.3486328,0.5451813,-2.0981598
1572437368035,2.0325928,0.9378357,-2.1771545
1572437368036,1.3765869,1.0862732,-0.4437561
1572437368036,1.3334961,1.0288085999999999,0.23379517
1572437368036,1.4196777,0.96894836,0.2577362
1572437368036,1.3670044,0.95458984,0.14042664
1572437368036,0.7062073,0.7343291999999999,-0.6065674
1572437368036,-0.7542572,0.16450499999999998,-1.3798981000000001
1572437368036,-1.1397247,-0.070129395,-1.8347931
1572437368036,-3.5985718,-3.8146667,-11.004578
1572437368036,-5.521103,-9.000504,-4.396591
1572437368036,-35.084717,-45.21759,-5.447647
1572437368037,-50.29268,-64.47176999999999,7.703705
1572437368037,-27.171875,-46.706787,-9.247238000000001
1572437368225,-2.2985077,-23.811035,4.5433655
1572437368225,-8.556961,-23.933135999999998,-1.9305573
1572437368225,-11.65506,-23.98581,1.9384766
1572437368225,-14.6310425,-19.946793,2.0821228
1572437368225,-12.026154,-12.390686,0.080566406
1572437368225,-6.610473599999999,-5.682144,-0.27616882
1572437368225,2.2839812999999998,-1.0685120000000001,-4.456436
1572437368225,0.62480164,0.37519836,-7.293564
1572437368227,-2.4756775,1.0120544,-5.533828700000001
1572437368227,-2.2649993999999998,1.0671233999999998,-3.6424102999999994
1572437368840,-0.9793091,0.16690063,-0.692749
1572437368840,-0.18443298,0.3704071,2.6184235
1572437368840,0.3111725,1.1365508999999998,4.995865
1572437368840,0.701416,2.2690125,4.8546143
